"Eje","Estrategia","LA","Institución","Sectorizador","Actividad","Tipo","Temática","Tipo.general","Etiqueta.gráfica","Fecha.de.inicio","Fecha.de.término","PTA.CC","NA."
1,1.1,"1.1.1","SHCP","SHCP","Fortalecer la interior de la PFF, el procedimiento de consulta y préstamo de expedientes: todo personal de la PFF firma la Carta de Confidencialidad.","Entregable","Responsabilidades administrativas","Entregable","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.1","SHCP","SHCP","Se coadyuvó y participó en 23 reuniones de trabajo con Entidades Federativas a través de sus UIPE, con el propósito dar seguimiento al proceso de implementación y/o funcionamiento de las mismas, fortaleciendo así los canales de comunicación en materia PLD/FT y sus delitos precedentes entre los cuales se encuentran aquellos por hechos de corrupción.","Actividad","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Actividad","Mejora de \nla gestión","44927","45291",0,NA
1,1.1,"1.1.1","SFP","SFP","Se elaboró una agenda de trabajo con el fin de dar seguimiento a la implementación de la PNA y comunicar la programación de actividades a las entidades y dependencias de la AF y las áreas de la SFP.","Entregable","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Entregable","Mejora de \nla gestión","44927","45291",0,NA
1,1.1,"1.1.1","CNI","SSPC","Difusión de banners, que promuevan el uso de medios por los cuales se pueden denunciar las faltas, delitos y sanciones. (Plataforma de Ciudadanos Alertadores Internos y Externos de la Corrupción).","Entregable","Responsabilidades administrativas","Entregable","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.1","SESNSP","SSPC","Instalación del Módulo de Transparencia del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública, ubicado en el acceso peatonal de Av. De las Torres 855, Col. Belén de las Flores, C.P. 01110, Álvaro Obregón, Ciudad de México.","Actividad","Transparencia y participación ciudadana","Actividad","Transparencia","44927","45291",0,NA
1,1.1,"1.1.2","SHCP","SHCP","Se hizo la difusión a traves de correos masivos del Sistema de Registro de servidores publicos sancionados de la SFP a fin de Fortalecer su uso y consullta","Entregable","Responsabilidades administrativas","Entregable","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.2","SHCP","SHCP","Elaboración y publicación mensual del informe de actividades de la UIF https://www.gob.mx/uif/documentos/informe-diciembre-2023, el cual da cuenta de las actividades de la Unidad para combatir operaciones con recursos de procedencia ilícita, entre ellas se encuentran las denuncias presentadas con indicios de posibles hechos de corrupción.","Actividad","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Actividad","Mejora de \nla gestión","44927","45291",0,NA
1,1.1,"1.1.2","SFP","SFP","Se dio seguimiento a la información generada por la SESNA en torno a los avances en el desarrollo del Sistema 5 de la PDN , en espera del llamado para una sesión del Grupo de trabajo.","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.1,"1.1.2","SFP","SFP","Proporcionar a la Dirección General de Órganos de Vigilancia y Control B, la base de datos obtenida del SIRA, a efecto que verifiquen los asuntos que han sido cargados en el SIRA por parte de los OIC y las UR","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.2","SFP","SFP","Brindar capacitación al personal de los OIC y las UR, respecto al uso del SIRA","Evento","Responsabilidades administrativas","Evento","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.2","SFP","SFP","Atender dudas y solicitudes de adecuaciones del SIRA por parte de los OIC y las UR","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.3","SHCP","SHCP","Se realizó la difusión del Sistema de Alertadores de Corrupción a través de medios virtuales al interior de la PFF","Entregable","Responsabilidades administrativas","Entregable","Resp. Admin.","44927","45291",0,NA
1,1.1,"1.1.3","SHCP","SHCP","Derivado del sistema de alertas, la UIF procesó 304,412 reportes inusuales recibidos del sistema financiero, identificando 7,008 reportes relacionados con posibles hechos de corrupción.","Actividad","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Actividad","Mejora de \nla gestión","44927","45291",0,NA
1,1.1,"1.1.3","SRE","SRE","Se reportó como medida preventiva y de atención a los riesgos de corrupción, cada mes al Titular del Área de Especialidad en Control Interno en el Ramo de Relaciones Exteriores, las contrataciones realizadas bajo el amparo de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público (LAASSP).","Entregable","Auditoría y fiscalización","Entregable","Auditoría y \nfiscalización","44927","45291",0,NA
1,1.1,"1.1.3","SRE","SRE","Se difundió a través de comunicaciones masivas por medio del correo electronico institucional en materia LFAR y sus lineamientos, a efecto de que las unidades administrativas de la S.R.E. coadyuven a que los recursos económicos de los cuales dispone la Secretaría se administren con eficacia, eficiencia, economía, transparencia y honradez.","Entregable","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Entregable","Mejora de \nla gestión","44927","45291",0,NA
1,1.1,"1.1.3","SRE","SRE","Se gestionó la actualización para mantener actualizado y publicado en la Normateca Interna de la S.R.E., los ""POBALINES"", a efecto de contar con directrices que permitieran llevar a cabo los procesos de contratación de la S.R.E., bajo los principios de eficacia, eficiencia, economía, transparencia y honradez.","Otro","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Otro","Mejora de \nla gestión","44927","45291",0,NA
1,1.1,"1.1.3","IMP","SENER","A través del sitito IMP Informa se llevaron a cabo 10 publicaciones de infografías de la Plataforma de Ciudadanos Alertadores Internos y Externos de la Corrupción, además, dos infografías permanecen publicadas en redes sociales. Así mismo, la Gerencia de Proveeduría y Servicios continúa incluyendo en las bases de los procedimientos de invitación a cuando menos tres personas y de las licitaciones públicas la leyenda: ""¿Tienes conocimiento de actos de Cohecho, Peculado o Desvío de recursos públicos? Denúncialos en la plataforma de CIUDADANOS ALERTADORES internos y externos de la corrupción en: http://alertadores.funcionpublica.gob.mx"" Se llevaron a cabo 5 difusiones de infografías para denunciar ante el Sistema Integral de Denuncias Ciudadanas (SIDEC). Se promovió la participación en la Encuesta sobre la Cultura del Alertamiento y la Denuncia 2023.Publicaron de 4 infografías de los datos para denunciar ante el Órgano Interno de Control Específico y ante la Contraloría Social.Publicación de 5 infografías de los requisitos para denunciar ante el Comité de Ética.","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.1,"1.1.3","SFP","SFP","Como resultado de la puesta en operación del sistema, durante 2023 fueron capacitadas 26,680 personas servidoras públicas mediante el curso “Sistema de Ciudadanos Alertadores Internos y Externos de la Corrupción”","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.1,"1.1.3","SFP","SFP","Se revisaron los informes trimestrales elaborados por la SESNA respecto de los avances en el desarrollo de la Plataforma Digital Nacional en el marco de la integración de la carpeta para las sesiones del Comité Coordinador.","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.1,"1.1.3","SFP","SFP","Se revisaron los informes trimestrales elaborados por la SESNA respecto de los avances en el desarrollo de la Plataforma Digital Nacional en el marco de la integración de la carpeta para las sesiones del Comité Coordinador.","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.1,"1.1.2","ASF","ASF","Informe sobre la situación que guardan las observaciones, recomendaciones y acciones promovidas.","Entregable","Auditoría y fiscalización","Entregable","Auditoría y \nfiscalización","01-04-2023","30/09/2023",0,NA
1,1.1,"1.1.1","TFJA","TFJA","Los nuevos Lineamientos para investigar, substanciar y sancionar responsabilidades administrativas de las persona servidoras públicas señaladas en las fracciones I a XI del artículo 42 de la Ley Orgánica del Tribunal Federal de Justicia Administrativa, emitidos por La Junta de Gobierno y Administración a finales de 2023, definen al interior del Tribunal a las autoridades competentes para concer de la investigación, substanciación y sanción de faltas administrativas, tendentes a coadyuvar a eficiente aplicación de dichas funciones. El orden normativo interno permitirá dar paso a la adopción de un protocolo a nivel nacional.","ENTREGABLE","PROCURACIÓN E IMPARTICIÓN DE JUSTICIA","ENTREGABLE","Procuración e \nimpartición de justicia","01-01-2023","12-20-2023",0,NA
1,1.1,"1.1.2","TFJA","TFJA","Información de adjudicaciones directas, invitación restringida y licitación, así como contrataciones: La información sobre los resultados sobre procedimientos de adjudicación directa, invitación restringida y licitación de cualquier naturaleza, incluyendo la Versión Pública del Expediente respectivo y de los contratos celebrados, así como las concesiones, contratos, convenios, permisos, licencias o autorizaciones otorgados, especificando los titulares de aquéllos, debiendo publicarse su objeto, nombre o razón social del titular, vigencia, tipo, términos, condiciones, monto y modificaciones, así como si el procedimiento involucra el aprovechamiento de bienes, servicios y/o recursos públicos. Los procesos de adjudicación, investigación y licitación, así como las contrataciones que se realizan, implican la toma de decisiones y la erogación de recursos públicos, por lo que su difusión pública conlleva disminuir la comisión de actos de corrupción.","OTRO","TRANSPARENCIA","Otro","Transparencia","01-01-2023","12-20-2023",0,NA
1,1.2,"1.2.1","CNBV","CNBV","Se llevaron a cabo 2 reuniones con el grupo de homologación de criterios en materia de supervisión (GHCS) para hacer más eficiente la supervisión de aquellas instituciones y personas sujetas a un régimen legal de PLD/FT","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.2,"1.2.1","IMP","SENER","Durante 2023, el Comité de Ética atendió en tiempo y forma dos peticiones del Área de Quejas, Denuncias e Investigaciones del Órgano Interno de Control Específico en el Instituto Mexicano del Petróleo, para identificar acciones para mejorar el ambiente laboral sobre casos que investigaron.","Actividad","Otra","Actividad","Otra","44927","45291",0,NA
1,1.2,"1.2.1","SFP","SFP","Brindar capacitación a los Estados de Baja California y Tamaulipas en materia de responsabilidades administrativas","Evento","Responsabilidades administrativas","Evento","Resp. Admin.","44927","45291",0,NA
1,1.2,"1.2.1","SFP","SFP","Se infroma que durante 2023 se realizaron capacitaciones en materia de investigación y substanciación de faltas administrativas en el marco de la Ley General de Responsabilidades Administrativas en los Estado de Baja California y Tamaulipas, por otra parte, se realizó capacitación en materia de verificación patrimonial en los Estados de Baja California y Colima. Finalmente se ha compartido la plataforma del Sistema Integral de Denuncias Ciudadanas (SIDEC) conforme a los Convenios de Colaboración que ha suscrito la SFP con diversas Contralorías de los Estados.","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.2,"1.2.1","SFP","SFP","La SFP en su Plan Anual de Fiscalización 2023 programó 92 actos de fiscalización de carácter preventivo y verificativo, de los cuales 87 son auditorías (10 al desempeño, 66 a la operación regional y 11 financieras y de cumplimiento); 2, evaluaciones de políticas públicas; y 3, visitas de inspección. Sus objetivos son evaluar la eficacia, eficiencia y economía para el cumplimiento de objetivos y metas; fiscalizar el gasto federalizado; verificar la gestión financiera; y determinar la pertinencia y efectividad de las políticas públicas para atender los problemas definidos por el Gobierno. Al 31 de diciembre de 2023, se concluyeron 88 actos de fiscalización, lo que representó el 95.7% de avance; respecto de las 4 auditorías financieras y de cumplimiento que continúan en proceso de ejecución en este año, se concluirán en enero de 2024.",NA,NA,NA,NA,NA,NA,1,NA
1,1.2,"1.2.1","SFP","SFP","La SFP durante el ejercicio 2023, se realizaron 02 capacitaciones de materia de investigación y substanciación de faltas administrativas en los Estados de Baja California y Tamaulipas, así como 02 capacitaciones en materia de verificación patrimonial en los Estados de Baja California y Colima. Finalmente se ha compartido la plataforma del Sistema Integral de Denuncias Ciudadanas (SIDEC) conforme a los Convenios de Colaboración que ha suscrito la SFP con diversas Contralorías de los Estados.",NA,NA,NA,NA,NA,NA,1,NA
1,1.2,"1.2.1","SFP","SFP","La Comisión Nacional Bancaria y de Valores, contribuyó con las siguientes actividades:1) Durante 2023, se llevaron a cabo 2 reuniones con el Grupo de Homologación de Criterios en Materia de Supervisión (GHCS) que preside la Comisión Nacional Bancaria y de Valores, además, está integrado por otras autoridades como la Unidad de Inteligencia Financiera, Comisión Nacional de Seguros y Fianzas, Comisión Nacional del Sistema de Ahorro para el Retiro, Unidad de Banca, Valores y Ahorro, Unidad de Banca de Desarrollo, Unidad de Seguros, Pensiones y Seguridad Social y el Servicio de Administración Tributaria. El principal objetivo del GHCS es hacer más eficiente la supervisión de aquellas instituciones y personas sujetas a un régimen legal de prevención de operaciones de lavado de dinero y financiamiento al terrorismo (PLD/FT), mediante la implementación de procesos de revisión de aquellos sectores, instituciones, productos y servicios que representan mayor vulnerabilidad para la comisión de ilícitos.",NA,NA,NA,NA,NA,NA,1,NA
1,1.2,"1.2.1","SFP","SFP","La Comisión Nacional Bancaria y de Valores, contribuyó con las siguientes actividades:2) Se incluyeron en el Programa Anual de Supervisión, los sujetos supervisados propuestos por la UIF, ello a fin de verificar su operativa y el cumplimiento de las disposiciones en la materia. Asimismo, en la elaboración de los diagnósticos utilizados en los ejercicios de inspección y vigilancia se consideraron los informes proporcionados por la UIF acerca de las inconsistencias en los reportes de las entidades. Finalmente, la CNBV envió a la UIF las observaciones, recomendaciones y acciones correctivas derivadas de los ejercicios de supervisión, con la finalidad de que conozca las acciones impuestas por la CNBV respecto de diversos incumplimientos de los sujetos supervisados.",NA,NA,NA,NA,NA,NA,1,NA
1,1.2,"1.2.2","SADER","SADER","Se difundieron 16 infografías sobre las posibles faltas administrativas que pueden cometer las personas servidoras públicas.","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.2,"1.2.2","IMT","SICT","Capacitación en materia de ética, integridad pública y prevención de conflictos de interés, entre otras.","Actividad","Ética pública y/o profesionalización","Actividad","Ética pública","44927","45291",0,NA
1,1.2,"1.2.2","IMT","SICT","Capacitación en materia de Derechos humanos y/o perspectiva de género.","Actividad","Derechos humanos y/o perspectiva de género","Actividad","DDHH y equidad \nde género","44927","45291",0,NA
1,1.2,"1.2.2","IMT","SICT","Campaña de difusión, en materia detección, investigación, substanciación y sanción de faltas administrativas","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.2,"1.2.2","SHCP","SHCP","Se hizo la Difusión y Promoción de talleres, cursos, ya programados en el programa anual de capacitacion, además de los impartidos por la Secretaria de la Funcion Pública en el SICAVISP logrando que los servidores de la PFF tengan un curso atendido, vinculado al tema de responsabilidades administrativa o al tema de corrupción.","Entregable","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Entregable","Mejora de \nla gestión","44927","45291",0,NA
1,1.2,"1.2.2","SHCP","SHCP","A través de diversos oficios se exhorta a los servidores de la PFF A que se registren en los talleres, cursos, de capacitacion promovidas por la SFP, (SICAVISP) y/o la Dirección General de Recursos Humanos de la SHCP.","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.2,"1.2.2","SHCP","SHCP","Participó en 3 acciones orientadas a fomentar la detección de operaciones sospechosas en la prevención de lavado de dinero y financiamiento al terrorismo, así como sus delitos precedentes, teniendo como objetivo generar conocimientos, habilidades y aptitudes que permitan el desarrollo de procesos integrales entre las distintas autoridades.","Evento","Mejora de la gestión pública y/o administración pública (Planeación, presupuesto y ejercicio del gasto público)","Evento","Mejora de \nla gestión","44927","45291",0,NA
1,1.2,"1.2.2","SFP","SFP","Impartir en el SICAVISP los cursos de Procedimiento administrativo de sanción y Procedimiento de investigación en materia de verificación a la evolución patrimonial de las personas servidoras públicas, los cuales serán difundidos de manera permanente en la plataforma por medio de banners y en el calendario anual de capacitación","Actividad","Responsabilidades administrativas","Actividad","Resp. Admin.","44927","45291",0,NA
1,1.2,"1.2.2","SFP","SFP","Se participó en diversas capacitaciones en materia del Sistema Nacional Anticorrupción y de la Política Nacional Anticorrupción, coordinadas por la Dirección de Vinculación con el Sistema Nacional de Fiscalización de la SFP.","Actividad","Auditoría y fiscalización","Actividad","Auditoría y \nfiscalización","44927","45291",0,NA
1,1.2,"1.2.2","SFP","SFP","Se participó en diversas capacitaciones en materia del Sistema Nacional Anticorrupción y de la Política Nacional Anticorrupción, coordinadas por la Dirección de Vinculación con el Sisema Nacional de Fiscalización de la SFP.","Actividad","Auditoría y fiscalización","Actividad","Auditoría y \nfiscalización","44927","45291",0,NA
1,1.2,"1.2.2","SSPC","SSPC","Difundir el Sistema de Ciudadanos Alertadores Internos y Externos de la Corrupción y el Protocolo de Protección para Personas Alertadoras de la Corrupción, en el SECTOR CENTRAL DE SSPC .","Actividad","Ética pública y/o profesionalización","Actividad","Ética pública","44927","45291",0,NA
1,1.2,"1.2.2","SSPC","SSPC","Promover los cursos de capacitación que imparte la Secretaría de la Función Pública. para Personas Alertadoras de la Corrupción sobre el Sistema de Ciudadanos Alertadores Internos y Externos de la Corrupción y del Protocolo de Protección.","Actividad","Ética pública y/o profesionalización","Actividad","Ética pública","44927","45291",0,NA
1,1.2,"1.2.1","CPC","CPC","Se han iniciado discusiones en mesas se trabajo con el Consejo Consiltivo Académico para que contribuyan con su perspextiva con el diagnostico de los principales problemas que distinguen. El resumen se sus contribuciones sera compartido con titulares y direcciones de las instituciones. Posteriormente se haran mesas de trabajo conjuntas wue incorporen ambas visiones y en la medida de lo posible se acuerde una ruta de trabajo y observacion”",NA,NA,NA,NA,"44927","45444",0,NA
1,1.2,"1.2.1","CPC","CPC","Se han iniciado discusiones en mesas se trabajo con el Consejo Consiltivo Académico para que contribuyan con su perspextiva con el diagnostico de los principales problemas que distinguen. El resumen se sus contribuciones sera compartido con titulares y direcciones de las instituciones. Posteriormente se haran mesas de trabajo conjuntas wue incorporen ambas visiones y en la medida de lo posible se acuerde una ruta de trabajo y observacion”",NA,NA,NA,NA,"44927","45444",1,NA
1,1.2,"1.2.1","INAI","INAI","En cumplimiento al artículo 21, fracción XIX de la Ley Federal de Transparencia y Acceso a la Información Pública tiene como una de sus atribuciones el de dar Vista al Órgano Interno de Control del sujeto obligados y demás autoridades competentes o en su caso, el inicio del Procedimiento Sancionatorio correspondiente. Estas son hechas del conocimiento por la Secretaría Técnica del Pleno. Durante 2023 se le informó a dicha Secretaría de la detección y el reporte de 262 vistas e inicios del proceso sancionatorio que corresponda.",NA,NA,NA,NA,NA,NA,0,NA
1,1.2,"1.2.1","INAI","INAI","En cumplimiento al artículo 21, fracción XIX de la Ley Federal de Transparencia y Acceso a la Información Pública tiene como una de sus atribuciones el de dar Vista al Órgano Interno de Control del sujeto obligados y demás autoridades competentes o en su caso, el inicio del Procedimiento Sancionatorio correspondiente. Estas son hechas del conocimiento por la Secretaría Técnica del Pleno. Durante 2023 se le informó a dicha Secretaría de la detección y el reporte de 262 vistas e inicios del proceso sancionatorio que corresponda.",NA,NA,NA,NA,NA,NA,1,NA
1,1.2,"1.2.1","SESNA","SESNA","En el marco del desarrollo e implementación del Sistema 1 de la PDN, la SESNA llevó a cabo constantes reuniones de coordinación con la Secretaría de la Función Pública, para que al finalizar el año 2023, sea posible consultar y visualizar la información de las declaraciones patrimoniales y de intereses de las personas servidoras públicas del orden ejecutivo federal. Asimismo, se proyecta la consolidación en la integración de la información a nivel estatal para el año 2024, impulsado y vinculado directamente con la próxima publicación de la normativa secundaria del Sistema 1. Los instrumentos desarrollados para el Sistema 1, son: Proyecto de Declaratoria de inicio de funciones del Sistema de Evolución Patrimonial, de Declaración de Intereses y Constancia de Presentación de Declaración Fiscal de la Plataforma Digital Nacional; por lo que las autoridades de los Entes Públicos del Estado mexicano que cuenten con atribuciones, facultades, funciones u obligaciones respecto de este Sistema quedan sujetas al funcionamiento de la Plataforma Digital Nacional.",NA,NA,NA,NA,"44927","45275",1,NA
1,1.2,"1.2.1","SESNA","SESNA","En el marco del desarrollo e implementación del Sistema 1 de la PDN, la SESNA llevó a cabo constantes reuniones de coordinación con la Secretaría de la Función Pública, para que al finalizar el año 2023, sea posible consultar y visualizar la información de las declaraciones patrimoniales y de intereses de las personas servidoras públicas del orden ejecutivo federal. Asimismo, se proyecta la consolidación en la integración de la información a nivel estatal para el año 2024, impulsado y vinculado directamente con la próxima publicación de la normativa secundaria del Sistema 1. Los instrumentos desarrollados para el Sistema 1, son: Proyecto de los lineamientos que tienen por objeto establecer la participación de las Secretarías Ejecutivas de los Sistemas Locales Anticorrupción y el procedimiento a seguir por parte de los entes públicos de todos los ámbitos de gobierno para la incorporación de la información al Sistema de Evolución Patrimonial, de declaración de intereses y constancia de presentación de declaración fiscal de la Plataforma Digital Nacional; los cuales son de observancia obligatoria y aplicación general para todos los entes públicos federal, estatal y municipal, de conformidad con lo establecido en las Bases para el Funcionamiento de la Plataforma Digital Nacional y demás normatividad aplicable.",NA,NA,NA,NA,"44927","45275",1,NA
1,1.2,"1.2.1","SESNA","SESNA","En el marco del desarrollo e implementación del Sistema 1 de la PDN, la SESNA llevó a cabo constantes reuniones de coordinación con la Secretaría de la Función Pública, para que al finalizar el año 2023, sea posible consultar y visualizar la información de las declaraciones patrimoniales y de intereses de las personas servidoras públicas del orden ejecutivo federal. Asimismo, se proyecta la consolidación en la integración de la información a nivel estatal para el año 2024, impulsado y vinculado directamente con la próxima publicación de la normativa secundaria del Sistema 1. Los instrumentos desarrollados para el Sistema 1, son: En cuanto al Sistema 2 de la PDN, la SESNA desarrolló el formato que indica la información que se registrará en el sistema de servidores públicos que intervengan en procedimientos de contrataciones públicas de la Plataforma Digital Nacional, previsto en el artículo 49, fracción II de la Ley General del Sistema Nacional.",NA,NA,NA,NA,"44927","45275",1,NA
